SV	Burden	SKAT	SKATO
5.58583647493436e-08	1.15255049311195e-12	5.04340262816129e-12	7.37823650704442e-14
1.27757525584963e-07	8.78418117590973e-06	7.53501236128162e-06	5.04774484388904e-06
1.44519388527347e-05	1.78664735783558e-08	2.13896133560709e-06	6.866959190166e-08
9.42773108038285e-06	1.14137632634994e-10	4.36481632352712e-10	1.85103931476103e-11
2.14893890271788e-06	2.68171697959796e-13	1.93744164658682e-11	5.69856923332937e-14
4.87592891708321e-10	1.47687026595304e-23	2.78720858117857e-20	7.76429401460625e-26
4.1795677968964e-08	1.06327630855817e-17	2.62657828595436e-15	4.55090273057005e-19
3.32294558115451e-08	1.53682695683185e-20	1.17850225301745e-17	2.43646650327202e-22
1.16315253763931e-08	1.33023358664395e-16	1.0459686095006e-14	5.98507099378789e-18
3.61324759610774e-07	8.23609890103206e-16	9.04918714465206e-14	6.03988835825192e-17
1.11617652142515e-08	2.37200606257609e-14	6.56583628850402e-12	5.93119884895101e-15
4.69919902950979e-08	6.73349124385792e-18	3.7578759203984e-21	2.25763265538513e-23
1.04379163026729e-07	3.32217923173995e-15	6.38502816422812e-14	1.3055345802445e-16
1.38560057337043e-09	3.10891710068883e-16	2.44214064779953e-15	5.22230760016944e-18
2.84114261055688e-07	1.34431073641952e-10	1.93504067082723e-10	1.46948915051621e-11
2.53360707797538e-09	5.12509384805077e-12	5.03851877147345e-16	7.93816697157486e-17
1.17236864040031e-05	9.67682727167221e-12	4.48542074301957e-11	1.09422201688143e-12
4.78711427450903e-07	3.95117349006733e-08	1.68898439727703e-10	1.18244593680549e-10
2.58500377434656e-05	5.44020984602042e-14	3.46652877218079e-11	2.15238132548948e-14
7.16980253226431e-07	1.5219479977947e-07	5.84633007338908e-07	2.35726847375162e-07
7.99972012013242e-07	4.62946027929209e-13	6.24821602612531e-12	4.33760819139769e-14
1.02557592711554e-06	3.35296258725032e-13	5.65378872800892e-10	3.14174065964092e-13
2.17505302292361e-08	1.96007937438522e-24	1.27816787752651e-20	1.79416927222058e-26
2.93262974177736e-08	2.15737238056572e-10	4.34460423116268e-13	1.11242745773258e-13
8.21095510031444e-09	6.26936503316381e-14	1.97051984673944e-13	1.95548130669005e-15
6.67865726465055e-07	0.000118241630756637	4.04862322052058e-05	3.80350495697845e-05
4.72705228375669e-08	4.34244661959361e-11	2.00059990795864e-08	5.04184853504898e-11
2.7089264080246e-06	2.53785252712411e-12	6.28374274756413e-10	1.51108686530716e-12
8.07997568808677e-07	8.63697131891833e-12	1.56193036049721e-11	5.65921700198869e-13
6.99316369401568e-05	3.61042790971249e-05	6.81914613342993e-06	6.75681864648059e-06
8.9368717622777e-09	5.42916985790587e-17	6.3891563402108e-14	6.91571521287361e-18
7.66760717385171e-06	8.01837061645524e-19	2.77637492779306e-15	8.06218972826719e-20
6.43398251096742e-07	5.74471866611148e-11	8.07075923078394e-12	8.23882671943186e-13
3.72620458316657e-07	2.39608289439275e-11	2.84130686801534e-10	4.89465741420592e-12
1.96444721985444e-12	5.89782960180729e-20	9.66553097910285e-26	4.93057050269786e-28
1.03628512911045e-08	1.40195365826544e-07	1.48457575480498e-09	1.18464249521111e-09
4.66238645167593e-10	1.42117024239774e-18	6.56149385994742e-23	3.95849578821175e-25
1.72991068465141e-10	0.00688281796944418	8.17607411773835e-08	3.45386145572668e-07
5.1768562333006e-08	3.42096044081744e-13	2.85693243803543e-13	7.18084200323785e-15
5.70966835927001e-08	6.26067441733058e-12	1.22713182450038e-12	7.06385374988629e-14
1.67190492341297e-08	3.94601317049466e-11	1.54851691059333e-12	1.70879990851818e-13
2.01468332051055e-08	2.1915382702206e-11	5.93446113957181e-13	5.88109461594092e-14
3.51572327805223e-07	3.19743106161964e-11	3.80790511364214e-10	7.24544793002542e-12
9.82611578813391e-12	6.47350312747653e-16	6.17185361207273e-19	9.06986879105368e-21
3.14501641132973e-07	1.71399934748408e-14	5.16925917735126e-16	1.01242282149766e-17
4.74683491153874e-05	2.07519807078882e-10	5.57442791926377e-08	1.99650812046314e-10
2.83878454392088e-10	5.64160990279604e-09	1.99697113328053e-10	6.56370161975201e-11
1.73387564619484e-07	0.000196308314709282	1.66802339829353e-07	5.25060468326011e-07
1.81161658744781e-10	1.3534490591351e-32	3.24252134807692e-28	3.15075284474246e-36
7.11549060381538e-11	5.12656500072785e-19	5.44993325183675e-20	9.30856923562817e-23
7.4007371323983e-07	3.80146053866211e-15	1.0705431882878e-12	6.05779995149811e-16
9.11434937388828e-07	1.62438319721305e-16	2.99733663595948e-13	2.96084233705681e-17
1.55266460234261e-06	1.06317006363547e-17	1.94104237675826e-14	1.16376258075692e-18
1.16315575955993e-06	7.58738313609306e-07	1.21928995766574e-06	6.53560868868475e-07
1.0681764774301e-07	5.76308500768621e-19	3.39480061471714e-15	7.38455974229688e-20
1.96311491240099e-09	2.19542052950384e-17	1.6550327268873e-15	5.13696719634194e-19
1.83047440272577e-06	1.91311983902966e-11	5.33417976456008e-10	2.26157359737189e-11
1.92376728357949e-10	1.24046661562036e-08	6.60839138966196e-09	2.34775232588191e-09
2.02467282328969e-07	9.97731987419293e-19	2.87000708225218e-16	2.72257673210045e-20
5.83861882965888e-07	5.94159428775775e-08	3.24169485352253e-12	4.91675098382817e-12
9.04318486401725e-07	6.22471868441648e-11	1.05294401443512e-12	1.47253719706375e-13
7.60938371127866e-07	3.28982179266852e-11	1.12444766696642e-10	4.10517780919292e-12
2.47810355348896e-06	1.32139615050491e-12	5.62402485800701e-14	2.81711476376899e-15
4.38855672901103e-06	3.35538092732372e-06	3.47078481022223e-06	2.29552086816742e-06
4.82265881319973e-07	4.07347151180924e-13	1.35990432804338e-11	5.86869470707885e-14
8.4209734696186e-08	9.87231187343788e-11	7.11014808215919e-14	1.71973528850658e-14
6.82848566298829e-07	3.51984138724534e-14	1.55467204492164e-13	1.19435331049136e-15
2.72093858422648e-07	9.24620987118757e-08	8.3893746571917e-07	3.15716781496e-07
2.85722890850791e-06	4.63729554338772e-06	5.03049295552671e-08	2.76384569675159e-08
5.11728872687756e-11	1.28110012933567e-10	1.76068597367911e-13	4.27422104287689e-14
6.82488572603048e-07	5.83931133090474e-09	1.55039996595954e-10	5.25800498125288e-11
3.22719039486928e-10	2.59577161657459e-21	5.77799324410792e-19	1.65816610400953e-23
8.4918987474854e-09	1.37842800695707e-10	1.2824584050275e-07	2.54136652769998e-10
2.72828686161342e-07	5.55215315837664e-11	2.79350946999618e-10	8.94670093695342e-12
7.23789232526465e-08	2.69475684689793e-15	1.99869628314209e-16	2.4560056470683e-18
1.09559972067052e-09	1.77347373597801e-15	1.77321319466794e-19	4.74200069296476e-21
2.44547717187069e-13	3.48079100020593e-13	8.85544447441421e-16	5.30901716485285e-17
1.89865917408552e-08	5.9520515502198e-07	7.89635241630018e-12	2.27168373792351e-11
9.84448720646031e-09	1.06935162379946e-11	1.45286879681579e-14	1.94595974062192e-15
2.65064991373948e-08	1.22293348130976e-18	1.42464570088733e-18	2.00323241341565e-21
1.32992472455489e-11	2.21067147973491e-13	2.66234514353981e-12	1.73273460930956e-14
3.86354415146522e-12	7.14348333543627e-21	3.57227074627135e-21	1.84754974809428e-24
4.74111809332725e-07	4.21660368853739e-07	1.66032970483343e-07	3.30813525462048e-08
7.05855280299585e-09	1.13984471318335e-10	9.48343429268298e-16	4.16298188183937e-16
1.13696740289375e-09	1.67170628103825e-28	2.20430109315874e-24	2.49008999366486e-31
1.61197115003491e-09	1.83877755247081e-08	9.99818654899977e-13	1.13316546864088e-12
1.49154207938923e-06	5.33617580491448e-13	7.22024586497875e-12	5.18983255987188e-14
9.70668580189289e-08	1.27475719709024e-14	6.37304633028154e-12	3.16215379128065e-15
6.80253803793242e-05	1.49978320025286e-10	5.13603124474571e-08	1.55986937261285e-10
8.2751373855944e-09	1.20386347227949e-09	3.07685024170196e-10	5.43452255595681e-11
2.34913348776759e-07	2.87545086375494e-12	2.55691132948476e-12	9.89019215579774e-14
1.48731045224149e-05	4.98412201829647e-10	8.14968328377574e-08	4.2470729486056e-10
7.86927192202797e-08	2.52682356172976e-10	1.48141636735488e-07	3.40879737058761e-10
0.000294325801481952	0.000201243412344408	1.34880093956014e-05	1.93032751716338e-05
5.22273403514136e-10	5.76066434378722e-09	2.06161725113209e-11	9.89057544010027e-12
4.56400188498736e-09	3.01125902760278e-12	2.22148831279993e-11	3.31495981550965e-13
4.87515263943816e-08	1.87203578625979e-13	1.08884633167168e-12	9.90317991997628e-15
5.91840420898808e-06	2.18709100929887e-09	2.44503921886796e-07	2.36490282912172e-09
1.40207246193618e-11	0.000746148740562008	9.32273990228438e-08	3.94062450781441e-07
2.29933361058038e-07	1.08043996725112e-09	7.6137587532536e-15	5.90747726845372e-15
