SV	Burden	SKAT	SKATO
5.58583647493436e-08	5.3814022506136e-10	4.63042373495011e-15	1.11930150932696e-16
1.27757525584963e-07	5.23953418268441e-08	4.93617974259112e-11	3.03062534220242e-12
1.44519388527347e-05	1.62836358732951e-13	2.51743307677891e-13	5.0420911481204e-18
9.42773108038285e-06	2.2545603714243e-15	6.92930513554263e-14	6.07996218022478e-20
2.14893890271788e-06	2.24865295551489e-17	1.29501038453475e-16	2.32969085909107e-23
4.87592891708321e-10	1.68624769005127e-17	1.37071026479121e-22	7.26016449433533e-28
4.1795677968964e-08	2.79821261336467e-13	4.34809211082974e-19	3.95507155124e-22
3.32294558115451e-08	6.31875545318187e-08	4.35882178593091e-17	1.72694819080154e-17
1.16315253763931e-08	1.04250989149523e-11	2.43827517158798e-17	1.33667753556598e-19
3.61324759610774e-07	9.37472113942088e-25	1.71201766504825e-23	4.00671011517114e-34
1.11617652142515e-08	2.33619788763715e-13	7.69430394298895e-18	3.50469397678596e-21
4.69919902950979e-08	3.8373993150965e-08	9.57581248831748e-19	4.43319028224679e-19
1.04379163026729e-07	1.13496181529018e-09	2.83227760867381e-14	7.0409163927858e-16
1.38560057337043e-09	2.40879729670673e-17	1.55643161060934e-23	2.3236664077045e-28
2.84114261055688e-07	1.47721707075855e-13	5.44690283332503e-15	2.76865159587623e-19
2.53360707797538e-09	1.81102912086993e-18	4.07608443518858e-25	1.90002796358889e-30
1.17236864040031e-05	3.33458132170796e-13	3.65942208190383e-17	1.47299022225273e-20
4.78711427450903e-07	5.31545093589875e-11	3.1511956438968e-17	4.20489671988859e-19
2.58500377434656e-05	1.50612277402286e-11	1.17629901570752e-14	1.48827414668539e-17
7.16980253226431e-07	1.00785052155315e-18	3.48949801307172e-19	2.59433300378373e-26
7.99972012013242e-07	3.57040347562298e-12	3.32281773347327e-15	2.11213567413647e-18
1.02557592711554e-06	1.3253900412946e-18	1.01523927726214e-17	3.40574893314571e-25
2.17505302292361e-08	1.11762026302851e-22	2.83226882928817e-26	2.05177664185943e-34
2.93262974177736e-08	6.73630740615403e-11	8.08332634904092e-15	3.46540829566546e-17
8.21095510031444e-09	1.14443117387173e-16	4.19257272055664e-23	1.35849774948099e-27
6.67865726465055e-07	6.1282290253471e-11	4.51204695860279e-12	3.36652083802916e-15
4.72705228375669e-08	1.26256848096192e-18	1.1572465027404e-19	1.25044444985809e-26
2.7089264080246e-06	1.53408974304948e-09	1.67512553310854e-10	5.74713731799493e-13
8.07997568808677e-07	7.24649542092322e-11	9.01659658902232e-17	1.17628850818489e-18
6.99316369401568e-05	5.83813061519773e-05	2.54559024541123e-09	4.02749695040604e-09
8.9368717622777e-09	2.82693454339909e-15	3.63277279887095e-15	9.64344643436679e-21
7.66760717385171e-06	1.12977718334595e-18	1.16048584644368e-18	6.66729480563706e-26
6.43398251096742e-07	3.31729022780991e-13	2.08930191675652e-20	5.72578337865316e-23
3.72620458316657e-07	2.23331700925489e-25	3.30341581333629e-22	9.64696262212984e-34
1.96444721985444e-12	2.86896585508562e-11	5.73701667085931e-28	6.55977164862748e-29
1.03628512911045e-08	3.9809274106782e-10	2.63300672047661e-15	6.33591239404763e-17
4.66238645167593e-10	3.48245523686775e-08	1.52561806009571e-20	8.77369403288121e-21
1.72991068465141e-10	8.88982572080323e-08	1.32554237673816e-24	2.31764323696176e-24
