SV	Burden	SKAT	SKATO
5.58583647493436e-08	5.06847738765878e-06	2.94270540088574e-14	7.42100612108101e-15
1.27757525584963e-07	0.000867979584596825	1.82532130077462e-07	8.02772612829017e-07
1.44519388527347e-05	7.99249007398999e-06	9.35705451796917e-11	1.08195362115022e-11
9.42773108038285e-06	3.21789234992832e-06	2.06296490921969e-10	9.55629464762574e-12
2.14893890271788e-06	5.33487182127801e-06	1.75889936191612e-12	2.47336277392198e-13
4.87592891708321e-10	3.71640162704514e-08	5.93346128477883e-20	2.04368172306177e-21
4.1795677968964e-08	1.4546754500953e-05	5.49177315979745e-15	4.26466198037745e-15
3.32294558115451e-08	0.00246791657560086	2.9325286970596e-13	1.29103008669584e-12
1.16315253763931e-08	3.87014594551585e-09	6.02296610929226e-18	1.49552371361455e-20
3.61324759610774e-07	5.00704451806714e-13	4.59161207218985e-18	4.2571868086138e-24
1.11617652142515e-08	8.04639721793102e-05	8.01789337735185e-15	1.71330741746933e-14
4.69919902950979e-08	0.0721129777938236	2.3785389285932e-14	1.66497725001526e-13
1.04379163026729e-07	2.07999198661575e-06	1.60388811649002e-14	2.294023208734e-15
1.38560057337043e-09	3.51956601689185e-10	7.08143208818712e-20	4.22400240568267e-23
2.84114261055688e-07	1.30707490088691e-05	7.55685054169156e-12	1.87396123698734e-12
2.53360707797538e-09	1.2236038270377e-06	5.35727877793335e-20	3.66619082262092e-20
1.17236864040031e-05	0.000318872129710089	6.92190948356272e-13	1.92847781923907e-12
4.78711427450903e-07	6.0865706773964e-06	3.32810691985113e-12	4.45427981499555e-13
2.58500377434656e-05	2.59171658211098e-05	7.69620915549407e-12	3.04939069751677e-12
7.16980253226431e-07	9.00702785771228e-12	3.11854558488626e-16	2.16997440785231e-21
7.99972012013242e-07	4.72611082852446e-07	5.87060192152284e-12	1.00421795606922e-13
1.02557592711554e-06	7.37293775203922e-07	1.76963056389715e-13	7.41393945420215e-15
2.17505302292361e-08	1.33530633530688e-07	1.29700175507427e-22	3.94546424054312e-23
2.93262974177736e-08	3.296245407649e-06	1.19629434698557e-10	6.38579989760516e-12
8.21095510031444e-09	3.67040950848592e-07	9.07899773279917e-19	1.58803006104862e-19
6.67865726465055e-07	0.000585154370998514	4.64614330521451e-10	1.12927206736879e-09
4.72705228375669e-08	3.58152832378096e-08	3.18388915976383e-16	2.79799848096552e-18
2.7089264080246e-06	0.000860480496117964	3.39100217722068e-10	1.10202058686399e-09
8.07997568808677e-07	0.000379951794700442	9.24994955694481e-13	2.65440576781434e-12
6.99316369401568e-05	0.000178048473362148	1.96359057912186e-10	2.18654031060937e-10
8.9368717622777e-09	6.6830800744793e-07	4.5600121980939e-11	7.72453616120169e-13
7.66760717385171e-06	4.21579945113505e-09	1.04269070567908e-16	1.83732434621728e-19
6.43398251096742e-07	0.00068622863281263	1.59256544555605e-16	5.77657567148858e-16
3.72620458316657e-07	2.12718772112177e-11	5.97210695382048e-20	3.20995319190559e-24
1.96444721985444e-12	0.000759218820997694	1.2043279342865e-21	5.39921130693747e-21
1.03628512911045e-08	3.67135191197166e-08	6.57001025795513e-17	6.8789552474285e-19
4.66238645167593e-10	0.00045438790840853	4.44885938629585e-22	1.8023235598373e-21
1.72991068465141e-10	0.000996424448764601	3.83442593650053e-20	1.7159259685612e-19
5.1768562333006e-08	0.000130563262224829	1.86637974919385e-14	4.41051382091572e-14
5.70966835927001e-08	0.000116828700744812	5.56316880377919e-16	1.34464915389029e-15
1.67190492341297e-08	1.391361707996e-05	7.26965181327207e-12	1.90357814335897e-12
2.01468332051055e-08	0.000110098007582082	5.16799075946368e-14	1.15899706414775e-13
3.51572327805223e-07	0.000100809563835922	1.26665527511172e-07	1.65804799667768e-07
9.82611578813391e-12	2.03115422436229e-05	9.48683672054966e-26	1.97685856442267e-25
