PTV	Del_Mis	Oth_Mis
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	1	0
0	0	0
0	0	1
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	1
0	0	1
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	1
0	0	0
0	0	0
0	1	0
0	0	1
0	0	0
0	0	0
0	1	0
0	0	0
0	1	0
0	0	0
0	0	1
1	0	0
0	0	0
0	0	1
0	0	1
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	1
0	0	0
0	0	0
0	1	0
1	0	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	0
0	0	1
0	0	1
0	0	1
0	0	1
1	0	0
0	0	0
0	0	1
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	1
0	1	0
0	0	1
0	0	0
0	1	0
0	0	0
